,Twitter Handle,Time,Content,Retweeting,Hashtags,Tagged,Links,Name
55,RepMikeRogersAL,2021-06-17T14:50:44.000Z,"RT @HASCRepublicans: .@RepMikeRogersAL: Repealing the 2002 AUMF without a replacement only undermines our national security.

The threats w…",",HASCRepublicans,",",",",",",",
56,RepMikeRogersAL,2021-06-16T18:29:33.000Z,"RT @HASCRepublicans: ""[Biden's] defense budget increases spending by about 2 percent, which won’t even keep up with inflation. This doesn’t…",",HASCRepublicans,",",",",",",",
57,RepMikeRogersAL,2021-06-16T18:29:28.000Z,"RT @HASCRepublicans: .@RepMikeRogersAL: Admiral Gilday &amp; General Berger, both indicated their support for the National Defense Strategy Com…",",HASCRepublicans,",",",",",",",
58,RepMikeRogersAL,2021-06-16T16:51:37.000Z,RT @HASCRepublicans: Ranking Member @RepMikeRogersAL delivered the following opening statement at a hearing on the FY22 budget request for…,",HASCRepublicans,",",",",",",",
59,RepMikeRogersAL,2021-06-16T16:51:31.000Z,Proud to stand up for life with @RepRosendale. https://t.co/xR5Reqlcjw,",",",",",RepRosendale,",",https://t.co/xR5Reqlcjw,",
60,RepMikeRogersAL,2021-06-16T14:41:29.000Z,RT @HASCRepublicans: The future of the free world depends on a strong America that can take on China and Russia in the battlefields of the…,",HASCRepublicans,",",",",",",",
61,RepMikeRogersAL,2021-06-15T20:44:44.000Z,Happy Birthday @USArmy! Thank you for the cupcakes  🧁 https://t.co/ksR6nwXjPZ,",",",",",USArmy,",",https://t.co/ksR6nwXjPZ,",
62,RepMikeRogersAL,2021-06-15T17:47:42.000Z,"RT @HASCRepublicans: ROGERS: How do you take on challenges with a budget that is diminishing?

ADM. GILDAY:.. the last several studies that…",",HASCRepublicans,",",",",",",",
63,RepMikeRogersAL,2021-06-15T16:50:05.000Z,"RT @paulmcleary: At House Armed Services Committee:

Adm. Gilday: “The last several studies that have been done, going back five years, cal…",",paulmcleary,",",",",",",",
64,RepMikeRogersAL,2021-06-15T15:49:39.000Z,RT @HASCRepublicans: Ranking Member @RepMikeRogersAL delivered the following opening statement at a hearing on the @USNavy FY22 budget requ…,",HASCRepublicans,",",",",",",",
65,RepMikeRogersAL,2021-06-14T22:48:45.000Z,Great talking with VADM Hill about adequately funding U.S. missile defenses. I conveyed that we need to get NGI online and replenish Iron Dome. The Biden budget cuts missile defense and short-changes defense of Guam and Hawaii. Our warfighters deserve better. https://t.co/QRpdcmTq8C,",",",",",",",https://t.co/QRpdcmTq8C,",
66,RepMikeRogersAL,2021-06-14T22:38:39.000Z,RT @HASCRepublicans: NEW: Ranking Member @RepMikeRogersAL released a statement opposing the House Democrats’ discretionary topline number t…,",HASCRepublicans,",",",",",",",
67,RepMikeRogersAL,2021-06-14T19:46:17.000Z,RT @SteveScalise: 4 years ago police officers saved dozens of lives—including mine—from a leftist who came to the baseball field to kill Re…,",SteveScalise,",",",",",",",
68,RepMikeRogersAL,2021-06-14T15:10:36.000Z,Wishing @USArmy a happy 246th birthday! Thank you to the brave men and women who keep our nation safe. https://t.co/S6zZ7sh1YB,",",",",",USArmy,",",https://t.co/S6zZ7sh1YB,",
