LastName,FirstName,Handle,Link,State,Party
Cassidy,Bill,SenBillCassidy,https://twitter.com/SenBillCassidy,LA,R
Kennedy,John,SenJohnKennedy,https://twitter.com/SenJohnKennedy,LA,R
Markey,EdwardJ.,SenMarkey,https://twitter.com/SenMarkey,MA,D
Warren,Elizabeth,SenWarren,https://twitter.com/SenWarren,MA,D
Cardin,BenjaminL.,SenatorCardin,https://twitter.com/SenatorCardin,MD,D
VanHollen,Chris,ChrisVanHollen,https://twitter.com/ChrisVanHollen,MD,D
Collins,SusanM.,SenatorCollins,https://twitter.com/SenatorCollins,ME,R
King,AngusS.Jr.,SenAngusKing,https://twitter.com/SenAngusKing,ME,I
Peters,GaryC.,SenGaryPeters,https://twitter.com/SenGaryPeters,MI,D
Stabenow,Debbie,SenStabenow,https://twitter.com/SenStabenow,MI,D
Klobuchar,Amy,SenAmyKlobuchar,https://twitter.com/SenAmyKlobuchar,MN,D
Smith,Tina,SenTinaSmith,https://twitter.com/SenTinaSmith,MN,D
Blunt,Roy,RoyBlunt,https://twitter.com/RoyBlunt,MO,R
Hawley,Josh,HawleyMO,https://twitter.com/HawleyMO,MO,R
Hyde-Smith,Cindy,SenHydeSmith,https://twitter.com/SenHydeSmith,MS,R
Wicker,RogerF.,SenatorWicker,https://twitter.com/SenatorWicker,MS,R
Daines,Steve,SteveDaines,https://twitter.com/SteveDaines,MT,R
Tester,Jon,SenatorTester,https://twitter.com/SenatorTester,MT,D
Burr,Richard,SenatorBurr,https://twitter.com/SenatorBurr,NC,R
Tillis,Thom,SenThomTillis,https://twitter.com/SenThomTillis,NC,R
Cramer,Kevin,SenKevinCramer,https://twitter.com/SenKevinCramer,ND,R
Hoeven,John,SenJohnHoeven,https://twitter.com/SenJohnHoeven,ND,R
Fischer,Deb,SenatorFischer,https://twitter.com/SenatorFischer,NE,R
Sasse,Ben,SenSasse,https://twitter.com/SenSasse,NE,R
Hassan,Margaret_Wood,SenatorHassan,https://twitter.com/SenatorHassan,NH,D
Shaheen,Jeanne,SenatorShaheen,https://twitter.com/SenatorShaheen,NH,D
Booker,CoryA.,CoryBooker,https://twitter.com/CoryBooker,NJ,D
Menendez,Bob,SenatorMenendez,https://twitter.com/SenatorMenendez,NJ,D
Heinrich,Martin,MartinHeinrich,https://twitter.com/MartinHeinrich,NM,D
Luján,BenRay,SenatorLujan,https://twitter.com/SenatorLujan,NM,D
Cortez,MastoCatherine,SenCortezMasto,https://twitter.com/SenCortezMasto,NV,D
Rosen,Jacky,SenJackyRosen,https://twitter.com/SenJackyRosen,NV,D
Gillibrand,KirstenE.,SenGillibrand,https://twitter.com/SenGillibrand,NY,D
Schumer,CharlesE.,SenSchumer,https://twitter.com/SenSchumer,NY,D
Brown,Sherrod,SenSherrodBrown,https://twitter.com/SenSherrodBrown,OH,D
Portman,Rob,senrobportman,https://twitter.com/senrobportman,OH,R
Inhofe,JamesM.,JimInhofe,https://twitter.com/JimInhofe,OK,R
Lankford,James,SenatorLankford,https://twitter.com/SenatorLankford,OK,R
Merkley,Jeff,SenJeffMerkley,https://twitter.com/SenJeffMerkley,OR,D
Wyden,Ron,RonWyden,https://twitter.com/RonWyden,OR,D
Casey,RobertP.Jr.,SenBobCasey,https://twitter.com/SenBobCasey,PA,D
Toomey,PatrickJ.,SenToomey,https://twitter.com/SenToomey,PA,R
Reed,Jack,SenJackReed,https://twitter.com/SenJackReed,RI,D
Whitehouse,Sheldon,SenWhitehouse,https://twitter.com/SenWhitehouse,RI,D
Graham,Lindsey,LindseyGrahamSC,https://twitter.com/LindseyGrahamSC,SC,R
Scott,Tim,SenatorTimScott,https://twitter.com/SenatorTimScott,SC,R
Rounds,Mike,SenatorRounds,https://twitter.com/SenatorRounds,SD,R
Thune,John,SenJohnThune,https://twitter.com/SenJohnThune,SD,R
Blackburn,Marsha,MarshaBlackburn,https://twitter.com/MarshaBlackburn,TN,R
Hagerty,Bill,SenatorHagerty,https://twitter.com/SenatorHagerty,TN,R
Cornyn,John,JohnCornyn,https://twitter.com/JohnCornyn,TX,R
Cruz,Ted,SenTedCruz,https://twitter.com/SenTedCruz,TX,R
Lee,Mike,SenMikeLee,https://twitter.com/SenMikeLee,UT,R
Romney,Mitt,SenatorRomney,https://twitter.com/SenatorRomney,UT,R
Kaine,Tim,timkaine,https://twitter.com/timkaine,VA,D
Warner,MarkR.,MarkWarner,https://twitter.com/MarkWarner,VA,D
Leahy,PatrickJ.,SenatorLeahy,https://twitter.com/SenatorLeahy,VT,D
Sanders,Bernard,SenSanders,https://twitter.com/SenSanders,VT,I
Cantwell,Maria,SenatorCantwell,https://twitter.com/SenatorCantwell,WA,D
Murrary,Patty,PattyMurray,https://twitter.com/PattyMurray,WA,D
Baldwin,Tammy,SenatorBaldwin,https://twitter.com/SenatorBaldwin,WI,D
Johnson,Ron,SenRonJohnson,https://twitter.com/SenRonJohnson,WI,R
Capito,ShelleyMoore,SenCapito,https://twitter.com/SenCapito,WV,R
Manchin,JoeIII,Sen_JoeManchin,https://twitter.com/Sen_JoeManchin,WV,D
Barrasso,John,SenJohnBarrasso,https://twitter.com/SenJohnBarrasso,WY,R
Lummis,CynthiaM.,SenLummis,https://twitter.com/SenLummis,WY,R
