,Unnamed: 0,Name,Twitter Handle,Time,Content,Retweeting,Hashtags,Tagged,Links
9903,9903,Chuck Schumer,SenSchumer,2021-06-05T20:37:02.000Z,"Public housing is infrastructure!

Proud to stand with @SenGianaris, Bishop @MitchellGTaylor, @KBainNYC, &amp; public housing advocates today in Queens

We’re working to AT LEAST double the #AmericanJobsPlan investment to make public housing livable, sustainable, and create good jobs https://t.co/CSOIpp2JjL",$,AmericanJobsPlan,"SenGianaris, MitchellGTaylor, KBainNYC",https://t.co/CSOIpp2JjL
9904,9904,Chuck Schumer,SenSchumer,2021-06-05T20:31:43.000Z,Exploring the New York Botanical Garden @NYBG with Noah! https://t.co/BGPlCAMZ56,$,$,NYBG,https://t.co/BGPlCAMZ56
9905,9905,Chuck Schumer,SenSchumer,2021-06-05T18:44:04.000Z,RT @NYBG: Organizations like NYBG are working hard with @SenSchumer to bring arts &amp; culture back to NYC. Thank you for visiting Kusama: Cos…,NYBG,$,$,$
9906,9906,Kirsten Gillibrand,SenGillibrand,2021-06-11T21:51:51.000Z,"My friend John Lewis used to say that the right to vote is precious, almost sacred. Together we introduced the Voter Empowerment Act — now a part of the #ForThePeopleAct. I will continue his fight to protect the right to vote. And I won't let the filibuster stand in our way. https://t.co/guu3Q1p3eM",$,ForThePeopleAct,$,https://t.co/guu3Q1p3eM
9907,9907,Kirsten Gillibrand,SenGillibrand,2021-06-10T22:02:44.000Z,"Paid leave makes our families stronger, our economy stronger, and our country stronger. It's time to catch up to the rest of the industrialized world and guarantee paid leave for every worker in America.",$,$,$,$
9908,9908,Kirsten Gillibrand,SenGillibrand,2021-06-10T12:55:04.000Z,"Why are women athletes at the top of their game still being denied decent facilities? As a Senator and the co-captain of the Congressional Women's Softball Team, I'm calling on the @NCAA to give women athletes the respect and facilities they deserve. https://t.co/0CKwdX9c4V",$,$,NCAA,https://t.co/0CKwdX9c4V
9909,9909,Kirsten Gillibrand,SenGillibrand,2021-06-09T22:56:23.000Z,"If we're going to have a government of the people, by the people, and for the people, then we need to ensure that every voice is heard. We need to pass the #ForThePeopleAct to defend our democracy. And if Republicans try to filibuster it, then we need to dump the filibuster. https://t.co/HgZi51OwqN",$,ForThePeopleAct,$,https://t.co/HgZi51OwqN
9910,9910,Kirsten Gillibrand,SenGillibrand,2021-06-09T16:28:03.000Z,"I'm proud to endorse @valdemings for the Senate! She's been a tireless champion for Florida's families, and I need her help in the Senate.

This is going to be a tough fight, but I know Val can win. Chip in now to help jumpstart her campaign: https://t.co/CYa45L8vNn https://t.co/4AHC4lG3R2",$,$,valdemings,"https://t.co/CYa45L8vNn, https://t.co/4AHC4lG3R2"
9911,9911,Kirsten Gillibrand,SenGillibrand,2021-06-09T14:45:54.000Z,"If this is going to be a government of the people, by the people, and for the people, then we need to hear all of your voices now so that every voice will be heard at the ballot box. Keep fighting — and I will be fighting by your side. #ForThePeopleAct",$,ForThePeopleAct,$,$
9912,9912,Kirsten Gillibrand,SenGillibrand,2021-06-09T14:45:22.000Z,"Before he passed, John Lewis and I wrote the Voter Empowerment Act — now part of #ForThePeopleAct — to end voter suppression.
 
Let’s pass the #ForThePeopleAct AND pass the John Lewis Voting Rights Act to restore the critical voting rights protections struck down by this court.",$,"ForThePeopleAct, ForThePeopleAct",$,$
