,Name,Twitter Handle,Time,Content,Retweeting,Hashtags,Tagged,Links
1226,Chris Murphy,ChrisMurphyCT,2021-06-19T22:41:11.000Z,Thanks to Jim Smith for showing me around Cushman Farm in Franklin yesterday. We talked a lot about federal support for soil improvement programs. Thanks also to @bryanhurlburt @CathyOsten and Rep. Kevin Ryan and First Selectman Charles Grant for joining. https://t.co/kBm23329fJ,",",",",",bryanhurlburt,CathyOsten,",",https://t.co/kBm23329fJ,"
1227,Chris Murphy,ChrisMurphyCT,2021-06-19T19:13:58.000Z,RT @nycsouthpaw: pls find my comments attached thx https://t.co/6mzOtHN6Oz,",nycsouthpaw,",",",",",","
1228,Chris Murphy,ChrisMurphyCT,2021-06-19T15:13:52.000Z,YMCA Camp Hazen in Chester has opened their doors to more kids in need this summer thanks to funds from the American Rescue Plan. I went there Friday to say thanks to the amazing staff. https://t.co/I65rCP27UO,",",",",",",",https://t.co/I65rCP27UO,"
1229,Tom Carper,SenatorCarper,2021-06-20T19:31:53.000Z,"Being a father to my amazing sons is one of the greatest joys of my life. Happy Father’s Day to dads up and down Delaware, and across the country. https://t.co/FO3omc2LUS",",",",",",",",https://t.co/FO3omc2LUS,"
1230,Tom Carper,SenatorCarper,2021-06-19T21:59:41.000Z,RT @RepLBR: I was honored to help kick off the Wilmington Library’s Juneteenth Festival as we celebrate it as a national holiday for the fi…,",RepLBR,",",",",",","
1231,Tom Carper,SenatorCarper,2021-06-19T19:06:35.000Z,"Today also makes us reckon with our nation’s history, and reminds us that our work to form a more perfect union is far from over. As we celebrate and reflect on the progress we have made, we must also recommit our efforts to move toward equality and justice for all.",",",",",",",","
1232,Tom Carper,SenatorCarper,2021-06-19T19:06:34.000Z,"Juneteenth is a day to commemorate the emancipation of African Americans who had been enslaved in the United States. 

It was an honor to join with community and business leaders in Wilmington and Middletown today to celebrate this newly installed federal holiday. https://t.co/XOhSkwenPJ",",",",",",",",https://t.co/XOhSkwenPJ,"
1233,Tom Carper,SenatorCarper,2021-06-19T17:25:37.000Z,RT @EPWCmte: Today we celebrate #JuneTeenth and reflect on the work ahead us to create a more perfect union. We aren’t all truly free until…,",EPWCmte,",",",",",","
1234,Chris Coons,ChrisCoons,2021-06-20T18:31:46.000Z,"On #WorldRefugeeDay, we recommit to that long tradition, stand with the most vulnerable among us, and work toward once again meeting robust refugee admissions goals.",",",",WorldRefugeeDay,",",",","
1235,Chris Coons,ChrisCoons,2021-06-20T18:31:46.000Z,The United States has a long tradition of welcoming and resettling refugees. Those fleeing violence and conflict from countries around the world have become a valuable part of the fabric of American society.,",",",",",",","
1236,Chris Coons,ChrisCoons,2021-06-19T14:23:41.000Z,"The end of the darkest period in our nation’s history is a cause for celebration and pride, and today offers us an important opportunity to reflect on the meaning of equality in the United States. So let us pause and recommit ourselves to knowing our #juneteenth history. https://t.co/q6M5x1Z8MT",",",",juneteenth,",",",",https://t.co/q6M5x1Z8MT,"
1237,Marco Rubio,marcorubio,2021-06-20T12:28:42.000Z,"Every major social problem in America can be linked to fatherlessness

Wherever involved fathers are rare,crisis is certain to follow 

And billions in government spending is no substitute for fatherhood",",",",",",",","
1238,Marco Rubio,marcorubio,2021-06-20T12:04:41.000Z,"“Where were you when I founded the earth?”

Job 38:4",",",",",",",","
1239,Marco Rubio,marcorubio,2021-06-19T12:56:30.000Z,"Marxism divides people into either oppressors or victims, calls for the overthrow an “evil” system &amp; then seizes complete power in the name of “fairness” 

The old Marxism used class warfare to divide people

The new Marxism uses identity politics 

But the goal is the same",",",",",",",","
1240,Marco Rubio,marcorubio,2021-06-19T12:22:01.000Z,"The angel of the LORD encamps around those who fear him, and he saves them.

Psalms 34:8",",",",",",",","
1241,Rick Scott,SenRickScott,2021-06-20T21:30:22.000Z,"This week, the Senate passed my resolution with @marcorubio congratulating the @GatorsMTN for winning the 2021 NCAA Tennis Championship. We’re proud of the team’s hard work and for representing Florida well on the court! 🐊🎾",",",",",",marcorubio,GatorsMTN,",","
1242,Rick Scott,SenRickScott,2021-06-20T19:46:16.000Z,Being a father and grandfather is the greatest joy of my life. I wouldn't be who I am today without the unconditional love of my adoptive father &amp; the lessons he taught me about the value of hard work &amp; determination. I wish every dad &amp; grandpa a wonderful #FathersDay! https://t.co/mIxmGNtwpI,",",",FathersDay,",",",",https://t.co/mIxmGNtwpI,"
1243,Rick Scott,SenRickScott,2021-06-20T17:31:32.000Z,"Across our state, Florida’s law enforcement officers are working every day to make our communities safer and better places to live.

I commend these @PascoSheriff deputies for their kindness and generosity. Thank you for all you do for Florida families. https://t.co/WNU3uLpsWJ",",",",",",PascoSheriff,",",https://t.co/WNU3uLpsWJ,"
1244,Rick Scott,SenRickScott,2021-06-19T23:00:48.000Z,The United States cannot back down when it comes to holding Communist China accountable for its genocide against the Uyghurs. We must unapologetically lead the world in this effort. Biden’s @StateDept should address this report immediately. https://t.co/EgpONTqJMY,",",",",",StateDept,",",https://t.co/EgpONTqJMY,"
1245,Rick Scott,SenRickScott,2021-06-19T21:23:01.000Z,"Why are New Yorkers fleeing to Florida in droves?

In New York…
High Taxes❌
High Crime ❌
Burdensome Govt Overreach ❌

In Florida…
Low Taxes ✅
Safe Communities ✅
Freedom from Bureaucracy ✅
Sunshine State Weather ☀️ 🏖 https://t.co/PuTgoXpo7H",",",",",",",",https://t.co/PuTgoXpo7H,"
1246,Rick Scott,SenRickScott,2021-06-19T19:27:20.000Z,ICYMI: El aumento de la inflación debido al gasto imprudente del gobierno está subiendo todos los precios. Ayer me reuní con dueños de pequeños negocios para hablar de la crisis inflacionaria de Biden y mis acciones para proteger a los floridanos de la ola de gastos de Washington,",",",",",",","
1247,Rick Scott,SenRickScott,2021-06-19T19:27:20.000Z,"🚨 ICYMI: Rising inflation from reckless government spending is hiking prices on everything from bread to gas. Yesterday, I met with small business owners in Miami to discuss Biden’s inflation crisis &amp; what I'm doing to stop Washington's spending spree &amp; protect Floridians.👀⬇️ https://t.co/7BFydgdUXv",",",",",",",",https://t.co/7BFydgdUXv,"
1248,Rick Scott,SenRickScott,2021-06-19T18:12:26.000Z,"Fue un honor reunirme ayer con @RosaMariaPaya. Ella continúa el increíble legado de su padre, Oswaldo Payá, en la lucha interminable contra el comunismo. Nunca dejaremos de trabajar para traer un nuevo día de libertad y democracia a Cuba.",",",",",",RosaMariaPaya,",","
1249,Rick Scott,SenRickScott,2021-06-19T18:12:25.000Z,"It was an honor to meet @RosaMariaPaya yesterday. She continues the incredible legacy of her father, Oswaldo Payá, in the unending fight against communism. We’ll never stop working to bring a new day of freedom and democracy to Cuba. https://t.co/a2FMB4ZYUT",",",",",",RosaMariaPaya,",",https://t.co/a2FMB4ZYUT,"
1250,Rick Scott,SenRickScott,2021-06-19T16:02:59.000Z,This is great news from @StateDept. Taiwan is under constant threat from Communist China and the United States must continue to do everything we can to support this strong democratic ally. https://t.co/413iJtItLT,",",",",",StateDept,",",https://t.co/413iJtItLT,"
1251,Rick Scott,SenRickScott,2021-06-19T14:10:53.000Z,"On #Juneteenth, we remember June 19, 1865, which marked the true end of slavery in America &amp; a new day of freedom in our nation. Today &amp; every day, let’s renew our commitment to freedom &amp; human rights for all.",",",",Juneteenth,",",",","
1252,Rick Scott,SenRickScott,2021-06-19T12:03:36.000Z,"Tropical Storm Claudette made landfall overnight in Louisiana but is still expected to produce significant rain in NWFL over the weekend. Stay safe &amp; avoid flooded areas. 

Follow @NHC_Atlantic &amp; @FLSERT for updates &amp; stay tuned to local news &amp; weather advisories. https://t.co/MbM11I9T5J",",",",",",NHC_Atlantic,FLSERT,",",https://t.co/MbM11I9T5J,"
1253,Raphael Warnock,SenatorWarnock,2021-06-20T21:07:23.000Z,"Our democracy is stronger when every eligible voter’s voice can be heard—it's the best way for us to come together &amp; solve the complex challenges we must face together.
 
We need to pass federal voting rights legislation. #ForThePeople",",",",ForThePeople,",",",","
1254,Raphael Warnock,SenatorWarnock,2021-06-20T18:27:23.000Z,"On #WorldRefugeeDay, I want to recognize the courage of those who have fled their homes &amp; left loved ones behind out of fear of persecution &amp; violence. 
 
Today, let us recommit to uplifting &amp; caring for refugees here in GA &amp; nationwide.",",",",WorldRefugeeDay,",",",","
1255,Raphael Warnock,SenatorWarnock,2021-06-20T16:03:25.000Z,"I'm a Senator. I'm a Pastor. But first, I'm a father.

Honored to be serving in the United States Senate to create a better future for my children. Wishing all the fathers and father figures in Georgia and across the nation a very happy Father's Day!",",",",",",",","
1256,Raphael Warnock,SenatorWarnock,2021-06-19T14:18:32.000Z,"I'm proud this week Congress came together to make #Juneteenth a national holiday.
 
But commemoration should never be a substitute for change. Rather, it ought to serve as an opportunity to drive our country closer toward its ideals and spur meaningful progress. https://t.co/r4b1gcz7XK",",",",Juneteenth,",",",",https://t.co/r4b1gcz7XK,"
1257,Brian Schatz,SenBrianSchatz,2021-06-19T14:23:45.000Z,"This week, the president signed legislation into law recognizing today as Juneteenth National Independence Day. This is a critical step towards acknowledging the history of slavery in America, but we still have work to do to dismantle systemic racism in our country today.",",",",",",",","
1258,Mazie Hirono,maziehirono,2021-06-20T00:13:26.000Z,"A trailblazer and a warrior, Robert Kekaula's passion for Hawaii and its people – especially his beloved Rainbow Warriors – always shown through in his decades covering the news. His voice was a welcome presence in homes across our state, including my own. Rest in aloha, Robert. https://t.co/LElP7aFWMJ",",",",",",",",https://t.co/LElP7aFWMJ,"
1259,Mazie Hirono,maziehirono,2021-06-19T20:49:39.000Z,RT @VelshiMSNBC: “I start with the position that it is time for us to eliminate the filibuster as a vestige of Jim Crow.” It is increasingl…,",VelshiMSNBC,",",",",",","
1260,Mazie Hirono,maziehirono,2021-06-19T16:50:43.000Z,"Juneteenth is officially a federal holiday, but this nation must confront how far we have left to go before true justice is achieved.

While Congress recognized Juneteenth, 
we must also act and pass the John Lewis Voting Rights Act and the George Floyd Justice in Policing Act.",",",",",",",","
1261,Dick Durbin,SenatorDurbin,2021-06-20T19:00:33.000Z,"Wishing a happy Father’s Day to all the dads, new and old, today. https://t.co/GKbCZC4aV1",",",",",",",",https://t.co/GKbCZC4aV1,"
1262,Dick Durbin,SenatorDurbin,2021-06-20T16:51:49.000Z,"Illinoisans—make sure you join @SenDuckworth and I tomorrow night at 7 PM CT/8 PM ET for a Facebook Live Q&amp;A where we will be answering your questions about beating this pandemic and building back better.
 
The event will be livestreamed here: https://t.co/k1sXTzNS6n https://t.co/s7myq5lWZl",",",",",",SenDuckworth,",",https://t.co/k1sXTzNS6n,https://t.co/s7myq5lWZl,"
1263,Dick Durbin,SenatorDurbin,2021-06-19T15:46:23.000Z,"As America celebrates #Juneteenth, we must remember that the equality promised at the end of the civil war is still too often denied to African Americans. The work of building a more equal &amp; just America lies before us, not behind us. https://t.co/idoMjFsNVU",",",",Juneteenth,",",",",https://t.co/idoMjFsNVU,"
1264,Tammy Duckworth,SenDuckworth,2021-06-20T21:51:18.000Z,"Folks, we know you have questions you want answered! Don’t forget to submit your questions for @SenatorDurbin and I to answer at tomorrow’s Facebook Live Q&amp;A👉 https://t.co/4SUgDloBpI https://t.co/mJXAZOzCrC",",",",",",SenatorDurbin,",",https://t.co/4SUgDloBpI,https://t.co/mJXAZOzCrC,"
