:START_ID(Tweet),:END_ID(States-ca),:TYPE,Specification
4874,Illinois,references,Illinois
4879,Iowa,references,Iowa
4881,Iowa,references,Iowa
4882,Iowa,references,Iowa
4886,Iowa,references,Iowa
4887,Iowa,references,Iowa
4894,Idaho,references,Idaho
4903,Idaho,references,Idaho
4926,Indiana,references,Indiana
4928,Indiana,references,Indiana
4943,Kansas,references,Kansas
4946,Kansas,references,Kansas
4955,Utah,references,Utah
4956,Kentucky,references,Kentucky
4960,Kentucky,references,Kentucky
4961,Kentucky,references,Kentucky
4962,Kentucky,references,Kentucky
4968,Kentucky,references,Kentucky
4969,Kentucky,references,Kentucky
4975,Kentucky,references,Kentucky
4978,Kentucky,references,Kentucky
4986,Louisiana,references,Louisiana
4989,Florida,references,Florida
4994,Louisiana,references,Louisiana
5002,Alabama,references,Alabama
5012,Louisiana,references,Louisiana
5031,Massachusetts,references,Massachusetts
5053,Maryland,references,Maryland
5055,Maryland,references,Maryland
5060,Maryland,references,Maryland
5061,Maryland,references,Maryland
5062,Maryland,references,Maryland
5063,Maryland,references,Maryland
5064,Maryland,references,Maryland
5066,Maryland,references,Maryland
5068,Maryland,references,Maryland
5072,Maryland,references,Maryland
5073,Maryland,references,Maryland
5074,Maryland,references,Maryland
5085,Maryland,references,Maryland
5086,Maryland,references,Maryland
5092,Michigan,references,Michigan
5093,Michigan,references,Michigan
5097,Michigan,references,Michigan
5099,Michigan,references,Michigan
5102,Michigan,references,Michigan
5109,Michigan,references,Michigan
5110,Michigan,references,Michigan
5123,Minnesota,references,Minnesota
5124,Minnesota,references,Minnesota
5129,Missouri,references,Missouri
5131,Florida,references,Florida
5140,Ohio,references,Ohio
5142,Missouri,references,Missouri
5145,Missouri,references,Missouri
5148,Missouri,references,Missouri
5149,Missouri,references,Missouri
5154,Missouri,references,Missouri
5158,Delaware,references,Delaware
5165,Mississippi,references,Mississippi
5179,Mississippi,references,Mississippi
5210,Montana,references,Montana
5212,Montana,references,Montana
5216,Montana,references,Montana
5217,Montana,references,Montana
5218,Montana,references,Montana
5219,Montana,references,Montana
5220,Montana,references,Montana
5221,Montana,references,Montana
5222,Montana,references,Montana
5223,Washington State,references,Washington
5224,Montana,references,Montana
5227,Nevada,references,Nevada
5229,Montana,references,Montana
5245,Montana,references,Montana
5248,Montana,references,Montana
5261,North Carolina,references,North Carolina
5268,North Dakota,references,North Dakota
5272,North Dakota,references,North Dakota
5282,North Dakota,references,North Dakota
5289,Nebraska,references,Nebraska
5314,New Hampshire,references,New Hampshire
5317,New Hampshire,references,New Hampshire
5353,Colorado,references,Colorado
5363,New Jersey,references,New Jersey
5374,New Jersey,references,New Jersey
5382,New Jersey,references,New Jersey
5399,Nevada,references,Nevada
5401,Nevada,references,Nevada
5402,Nevada,references,Nevada
5404,Nevada,references,Nevada
5405,Nevada,references,Nevada
5407,Nevada,references,Nevada
5408,Mississippi,references,Mississippi
5408,Nevada,references,Nevada
5412,Nevada,references,Nevada
5414,Nevada,references,Nevada
5417,Nevada,references,Nevada
5418,Nevada,references,Nevada
5422,Nevada,references,Nevada
5445,Ohio,references,Ohio
5449,Ohio,references,Ohio
5450,Ohio,references,Ohio
5477,Oregon,references,Oregon
5482,Oregon,references,Oregon
5483,Oregon,references,Oregon
5485,Oregon,references,Oregon
5487,Oregon,references,Oregon
5488,Oregon,references,Oregon
5490,Oregon,references,Oregon
5496,Oregon,references,Oregon
5497,Oregon,references,Oregon
5498,Oregon,references,Oregon
5500,Oregon,references,Oregon
5509,Oregon,references,Oregon
5510,Oregon,references,Oregon
5511,Oregon,references,Oregon
5513,Oregon,references,Oregon
5517,Oregon,references,Oregon
5519,Oregon,references,Oregon
5523,Oregon,references,Oregon
5524,Oregon,references,Oregon
5525,Oregon,references,Oregon
5526,Oregon,references,Oregon
5529,Oregon,references,Oregon
5533,Oregon,references,Oregon
5546,Oregon,references,Oregon
5549,Oregon,references,Oregon
5549,Texas,references,Texas
5553,Oregon,references,Oregon
5555,Oregon,references,Oregon
5562,Pennsylvania,references,Pennsylvania
5569,Pennsylvania,references,Pennsylvania
5570,Pennsylvania,references,Pennsylvania
5573,Pennsylvania,references,Pennsylvania
5580,Pennsylvania,references,Pennsylvania
5604,Rhode Island,references,Rhode Island
5640,Rhode Island,references,Rhode Island
5650,Nevada,references,Nevada
5656,Florida,references,Florida
5681,South Dakota,references,South Dakota
5694,Tennessee,references,Tennessee
5759,Tennessee,references,Tennessee
5769,Texas,references,Texas
5780,Texas,references,Texas
5791,Texas,references,Texas
5799,Florida,references,Florida
5802,Florida,references,Florida
5804,Georgia,references,Georgia
5806,Iowa,references,Iowa
5807,Utah,references,Utah
5809,Texas,references,Texas
5811,Texas,references,Texas
5814,Texas,references,Texas
5830,Texas,references,Texas
5835,Michigan,references,Michigan
5845,California,references,California
5864,Texas,references,Texas
5875,North Carolina,references,North Carolina
5897,Virginia,references,Virginia
5898,Virginia,references,Virginia
5903,North Carolina,references,North Carolina
5924,Nevada,references,Nevada
5941,Vermont,references,Vermont
5942,Washington State,references,Washington
5944,Washington State,references,Washington
5947,Washington State,references,Washington
5958,Oregon,references,Oregon
5958,California,references,California
5958,Nevada,references,Nevada
5961,Washington State,references,Washington
5964,Washington State,references,Washington
5968,Washington State,references,Washington
5972,Wisconsin,references,Wisconsin
5973,Wisconsin,references,Wisconsin
5975,Wisconsin,references,Wisconsin
5978,Wisconsin,references,Wisconsin
5985,West Virginia,references,West Virginia
5990,West Virginia,references,West Virginia
5997,West Virginia,references,West Virginia
5999,West Virginia,references,West Virginia
6014,West Virginia,references,West Virginia
6019,Wyoming,references,Wyoming
6023,Wyoming,references,Wyoming
6024,Wyoming,references,Wyoming
6025,Wyoming,references,Wyoming
6027,Wyoming,references,Wyoming
6030,Wyoming,references,Wyoming
