:START_ID(Congresspeople-ID),:END_ID,:TYPE
Roger Williams,R,party affiliation
Frederica Wilson,D,party affiliation
Joe Wilson,R,party affiliation
Robert Wittman,R,party affiliation
Steve Womack,R,party affiliation
John Yarmuth,D,party affiliation
Lee Zeldin,R,party affiliation
Lisa Murkowski,R,party affiliation
Dan Sullivan,R,party affiliation
RichardC. Shelby,R,party affiliation
Tommy Tuberville,R,party affiliation
John Boozman,R,party affiliation
Tom Cotton,R,party affiliation
Mark Kelly,D,party affiliation
Kyrsten Sinema,D,party affiliation
Dianne Feinstein,D,party affiliation
Alex Padilla,D,party affiliation
MichaelF. Bennet,D,party affiliation
JohnW. Hickenlooper,D,party affiliation
Richard Blumenthal,D,party affiliation
Christopher Murphy,D,party affiliation
ThomasR. Carper,D,party affiliation
ChristopherA. Coons,D,party affiliation
Marco Rubio,R,party affiliation
Rick Scott,R,party affiliation
Jon Ossoff,D,party affiliation
RaphaelG. Warnock,D,party affiliation
MazieK. Hirono,D,party affiliation
Brian Schatz,D,party affiliation
Joni Ernst,R,party affiliation
Chuck Grassley,R,party affiliation
Mike Crapo,R,party affiliation
JamesE. Risch,R,party affiliation
Tammy Duckworth,D,party affiliation
RichardJ. Durbin,D,party affiliation
Mike Braun,R,party affiliation
Todd Young,R,party affiliation
Roger Marshall,R,party affiliation
Jerry Moran,R,party affiliation
Mitch McConnell,R,party affiliation
Rand Paul,R,party affiliation
Bill Cassidy,R,party affiliation
John Kennedy,R,party affiliation
EdwardJ. Markey,D,party affiliation
Elizabeth Warren,D,party affiliation
BenjaminL. Cardin,D,party affiliation
Chris VanHollen,D,party affiliation
SusanM. Collins,R,party affiliation
AngusS.Jr. King,I,party affiliation
GaryC. Peters,D,party affiliation
Debbie Stabenow,D,party affiliation
Amy Klobuchar,D,party affiliation
Tina Smith,D,party affiliation
Roy Blunt,R,party affiliation
Josh Hawley,R,party affiliation
Cindy Hyde-Smith,R,party affiliation
RogerF. Wicker,R,party affiliation
Steve Daines,R,party affiliation
Jon Tester,D,party affiliation
Richard Burr,R,party affiliation
Thom Tillis,R,party affiliation
Kevin Cramer,R,party affiliation
John Hoeven,R,party affiliation
Deb Fischer,R,party affiliation
Ben Sasse,R,party affiliation
Margaret_Wood Hassan,D,party affiliation
Jeanne Shaheen,D,party affiliation
CoryA. Booker,D,party affiliation
Bob Menendez,D,party affiliation
Martin Heinrich,D,party affiliation
BenRay Luján,D,party affiliation
MastoCatherine Cortez,D,party affiliation
Jacky Rosen,D,party affiliation
KirstenE. Gillibrand,D,party affiliation
CharlesE. Schumer,D,party affiliation
Sherrod Brown,D,party affiliation
Rob Portman,R,party affiliation
JamesM. Inhofe,R,party affiliation
James Lankford,R,party affiliation
Jeff Merkley,D,party affiliation
Ron Wyden,D,party affiliation
RobertP.Jr. Casey,D,party affiliation
PatrickJ. Toomey,R,party affiliation
Jack Reed,D,party affiliation
Sheldon Whitehouse,D,party affiliation
Lindsey Graham,R,party affiliation
Tim Scott,R,party affiliation
Mike Rounds,R,party affiliation
John Thune,R,party affiliation
Marsha Blackburn,R,party affiliation
Bill Hagerty,R,party affiliation
John Cornyn,R,party affiliation
Ted Cruz,R,party affiliation
Mike Lee,R,party affiliation
Mitt Romney,R,party affiliation
Tim Kaine,D,party affiliation
MarkR. Warner,D,party affiliation
PatrickJ. Leahy,D,party affiliation
Bernard Sanders,I,party affiliation
Maria Cantwell,D,party affiliation
Patty Murrary,D,party affiliation
Tammy Baldwin,D,party affiliation
Ron Johnson,R,party affiliation
ShelleyMoore Capito,R,party affiliation
JoeIII Manchin,D,party affiliation
John Barrasso,R,party affiliation
CynthiaM. Lummis,R,party affiliation
