name:ID(Politician-ca),:LABEL
Nancy Mace,Politician
Nancy Pelosi,Politician
Nanette Barragan,Politician
Neal Dunn,Politician
Ned Lamont,Politician
Neil Gorsuch,Politician
Nellie Gorbea,Politician
Nicole Malliotakis,Politician
Nicolás Maduro,Politician
Nikema Williams,Politician
Norma Torres,Politician
Nydia M. Velázquez,Politician
Pat Fallon,Politician
Pat Toomey,Politician
Patrick Leahy,Politician
Patrick T. McHenry,Politician
Patty Murray,Politician
Paul D. Tonko,Politician
Paul Gosar,Politician
Pedro Cortes,Politician
Pete Aguilar,Politician
Pete Sessions,Politician
Peter Meijer,Politician
Peter Welch,Politician
Phil Murphy,Politician
Pramila Jayapal,Politician
Raja Krishnamoorthi,Politician
Ralph Norman,Politician
Rand Paul,Politician
Randy Feenstra,Politician
Randy Weber,Politician
Raphael Warnock,Politician
Rashida Tlaib,Politician
Raul Grijalva,Politician
Raul Ruiz,Politician
Richard Blumenthal,Politician
Richard E. Neal,Politician
Richard Hudson,Politician
Richard Shelby,Politician
Rick Allen,Politician
Rick Larsen,Politician
Rick Scott,Politician
Ritchie Torres,Politician
Ro Khanna,Politician
Rob Portman,Politician
Robert Aderholt,Politician
Robert C. Scott,Politician
Robert J. Wittman,Politician
Robin Kelly,Politician
Rodney Davis,Politician
Roger Wicker,Politician
Roger Williams,Politician
Ron DeSantis,Politician
Ron Estes,Politician
Ron Johnson,Politician
Ron Kind,Politician
Ron Wyden,Politician
Rosa L. DeLauro,Politician
Roy Blunt,Politician
Ruben Gallego,Politician
Ruth Johnson,Politician
Ryan Fournier,Politician
Ryan Zinke,Politician
S. Brett Guthrie,Politician
Salud Carbajal,Politician
Sam Graves,Politician
Sanford D. Bishop Jr.,Politician
Sarah Huckabee Sanders,Politician
Saule Omarova,Politician
Scott DesJarlais,Politician
Scott Fitzgerald,Politician
Scott Peters,Politician
Sean Maloney,Politician
Sean Patrick Maloney,Politician
Sean Spicer,Politician
Seth Moulton,Politician
Sheila Jackson Lee,Politician
Sheldon Whitehouse,Politician
Shelley Moore Capito,Politician
Sherrod Brown,Politician
Shontel Brown,Politician
Sonia Sotomayor,Politician
Stacey Abrams,Politician
Stacey Plaskett,Politician
Steny H. Hoyer,Politician
Stephanie Bice,Politician
Stephanie Murphy,Politician
Stephen F. Lynch,Politician
Steve Cohen,Politician
Steve Daines,Politician
Steve Scalise,Politician
Steve Womack,Politician
Steven Horsford,Politician
Susan Collins,Politician
Suzan DelBene,Politician
Suzanne Bonamici,Politician
Sylvester Turner,Politician
Tammy Baldwin,Politician
Tammy Duckworth,Politician
Ted Budd,Politician
Ted Cruz,Politician
Ted Lieu,Politician
Teresa Leger Fernandez,Politician
Terri Sewell,Politician
Thom Tillis,Politician
Thomas Massie,Politician
Tim Kaine,Politician
Tim Ryan,Politician
Tim Scott,Politician
Tim Walberg,Politician
Tina Smith,Politician
Todd Young,Politician
Tom Carper,Politician
Tom Cole,Politician
Tom Cotton,Politician
Tom Emmer,Politician
Tom Malinowski,Politician
Tom McClintock,Politician
Tom O'Halleran,Politician
Tom Rice,Politician
Tom Suozzi,Politician
Tom Tiffany,Politician
Tommy Tuberville,Politician
Tony Cardenas,Politician
Tony Gonzales,Politician
Troy Nehls,Politician
Tulsi Gabbard,Politician
Vanessa Enoch,Politician
Vern Buchanan,Politician
Vicente González,Politician
Vicky Hartzler,Politician
Victoria Spartz,Politician
Virginia Foxx,Politician
Vladimir Putin,Politician
Volodymyr Zelensky,Politician
Warren Davidson,Politician
William Keating,Politician
Xi Jinping,Politician
Yvette D. Clarke,Politician
Yvette Herrell,Politician
Zoe Lofgren,Politician
