name:ID(Person-ca),:LABEL
Cliff Bentz,Person
Conor Lamb,Person
Cori Bush,Person
Cory Booker,Person
Critical Role,Person
Cynthia Lummis,Person
Dan Bishop,Person
Dan Meuser,Person
Dan Newhouse,Person
Dan Sullivan,Person
Daniel Kildee,Person
Daniel Webster,Person
Danny K. Davis,Person
Darin LaHood,Person
Darrell Issa,Person
Darren Soto,Person
David Cicilline,Person
David G. Valadao,Person
David Joyce,Person
David Kustoff,Person
David Price,Person
David Rouzer,Person
David Scott,Person
David Valadao,Person
Deb Fischer,Person
Debbie Dingell,Person
Debbie Lesko,Person
Debbie Stabenow,Person
Deborah K. Ross,Person
Dennis Richardson,Person
Derek Kilmer,Person
Diana DeGette,Person
Diana Harshbarger,Person
Dianne Feinstein,Person
Dick Durbin,Person
Dina Titus,Person
Don Bacon,Person
Don Beyer,Person
Donald McEachin,Person
Donald Norcross,Person
Donald Payne Jr.,Person
Donald Trump,Person
Donald Trump Jr.,Person
Doris Matsui,Person
Doug LaMalfa,Person
Doug Lamborn,Person
Dream,Person
Drew Ferguson,Person
Dusty Baker ,Person
Dutch Ruppersberger,Person
Dwight Evans,Person
Ed Markey,Person
Ed Perlmutter,Person
Eddie Bernice Johnson,Person
Edward Snowden,Person
Elaine Luria,Person
Eleanor Holmes Norton,Person
Elise Stefanik,Person
Elissa Slotkin,Person
Elizabeth MacDonald,Person
Elizabeth Warren,Person
Elon Musk,Person
Emanuel Cleaver,Person
Eric Holcomb,Person
Eric Swalwell,Person
Evan McMullin,Person
Frank Lucas,Person
Frank Mrvan,Person
Frank Pallone Jr.,Person
Fred Guttenberg,Person
Fred Keller,Person
Fred Upton,Person
Frederica Wilson,Person
French Hill,Person
"Garland ""Andy"" Barr",Person
Garret Graves,Person
Garry Monk,Person
Gary Palmer,Person
Gary Peters,Person
Gavin Newsom,Person
George Takei,Person
"Gerald E. ""Gerry"" Connolly",Person
Gil Cisneros,Person
Glenn Greenwald,Person
Glenn Grothman,Person
Glenn W. Thompson,Person
Grace Meng,Person
Grace Napolitano,Person
Greg Abbott,Person
Greg Steube,Person
Gregory Murphy,Person
Gregory W. Meeks,Person
Gus M. Bilirakis,Person
Gwen Moore,Person
Hakeem Jeffries,Person
Harmeet Dhillon,Person
"Henry C. ""Hank"" Jr. Johnson",Person
Henry Cuellar,Person
Herschel Walker,Person
Hillary Clinton,Person
Hunter Biden,Person
Ilhan Omar,Person
J. D. Vance,Person
J.B. Pritzker,Person
J.D. Vance,Person
JB Pritzker,Person
Ja Morant,Person
Jack Bergman,Person
Jack Reed,Person
Jackie Speier,Person
Jacky Rosen,Person
Jacob LaTurner,Person
Jahana Hayes,Person
Jake Auchincloss,Person
Jake Ellzey,Person
Jake Sherman,Person
Jamaal Bowman,Person
James Comer,Person
James E. Clyburn,Person
James Lankford,Person
James McGovern,Person
Jamie Raskin,Person
Jan Schakowsky,Person
Janet Yellen,Person
Jared Golden,Person
Jared Huffman,Person
Jason Smith,Person
Jay Obernolte,Person
Jeanne Shaheen,Person
Jeff Duncan,Person
Jeff Merkley,Person
Jeffrey Epstein,Person
Jen Psaki,Person
Jennifer Wexton,Person
Jenniffer Gonzalez-Colon,Person
Jeremy Peña,Person
Jerrold Nadler,Person
Jerry Carl,Person
Jerry McNerney,Person
Jerry Moran,Person
Jesus Garcia,Person
Jill Biden,Person
Jim Acosta,Person
Jim Banks,Person
Jim Cooper,Person
Jim Costa,Person
Jim Inhofe,Person
Jim Jordan,Person
Jim Justice,Person
Jim Langevin,Person
Jim Risch,Person
Jimmy Carter,Person
Jimmy Gomez,Person
Jimmy Panetta,Person
Joaquin Castro,Person
Jodey Arrington,Person
Jody Hice,Person
Joe Biden,Person
Joe Courtney,Person
Joe Manchin,Person
Joe Rogan,Person
Joe Wilson,Person
John A. Yarmuth,Person
John B. Larson,Person
John Barrasso,Person
John Boozman,Person
John Carter,Person
John Cornyn,Person
John Fetterman,Person
John Garamendi,Person
John Hoeven,Person
John Katko,Person
John Kerry,Person
John Lewis,Person
John Neely Kennedy,Person
John P. Sarbanes,Person
John R. Curtis,Person
John Rutherford,Person
John Thune,Person
Jon Cooper,Person
Jon Ossoff,Person
Jon Tester,Person
Joni Ernst,Person
Josh Gottheimer,Person
Josh Hawley,Person
Josh Shapiro,Person
Joyce Beatty,Person
Juan Vargas,Person
Judy Chu,Person
Julia Brownley,Person
Justin Verlander,Person
"Kaiali'i Kahele""",Person
Kaka ,Person
Kamala Harris,Person
Kari Lake,Person
Karine Jean-Pierre,Person
Karl Rove,Person
Kat Cammack,Person
Katherine Clark,Person
Kathleen Rice,Person
Kathy Castor,Person
Kathy Griffin,Person
Kathy Hochul,Person
Katie Hobbs,Person
Kay Granger,Person
Ken Buck,Person
Ketanji Brown Jackson,Person
Kevin Brady,Person
Kevin Cramer,Person
Kevin McCarthy,Person
Kim Wyman,Person
Kimberley Strassel,Person
Kirsten Gillibrand,Person
Kirstjen Nielsen,Person
Kweisi Mfume,Person
Kyle Rittenhouse,Person
Kyrsten Sinema,Person
Larry Bucshon,Person
Larry Hogan,Person
Laura Ingraham,Person
Lee Zeldin,Person
Linda McMahon,Person
Linda Sanchez,Person
Lindsey Graham,Person
Lisa Blunt Rochester,Person
Lisa McClain,Person
Lisa Murkowski,Person
Liz Cheney,Person
Lloyd Doggett,Person
Lloyd Smucker,Person
Lois Frankel,Person
Louie Gohmert,Person
Lucille Roybal-Allard,Person
Madison Cawthorn,Person
Maggie Haberman,Person
Maggie Hassan,Person
Maggie Oliver,Person
Mandela Barnes,Person
Marc Veasey,Person
Marco Rubio,Person
Marcy Kaptur,Person
Maria Bartiromo,Person
Maria Cantwell,Person
Mariannette Miller-Meeks,Person
Marie Newman,Person
Marilyn Strickland,Person
Mario Diaz-Balart,Person
Marjorie Taylor Greene,Person
Mark Amodei,Person
Mark DeSaulnier,Person
Mark Gordon,Person
Mark Kelly,Person
Mark Pocan,Person
Mark Takano,Person
Mark Warner,Person
Markwayne Mullin,Person
Marsha Blackburn,Person
Martha Raddatz,Person
Martin Heinrich,Person
Martin Luther King Jr.,Person
Mary Lou McDonald,Person
Matt Gaetz,Person
Matt Rosendale,Person
Matthew Cartwright,Person
Maxine Waters,Person
Mayra Flores,Person
Mazie Hirono,Person
Mehdi Hasan,Person
Mehmet Oz,Person
Melanie Ann Stansbury,Person
Merrick Garland,Person
Michael Bennet,Person
Michael Burgess,Person
Michael T. McCaul,Person
Michael Turner,Person
Michele Bachmann,Person
Mike Bost,Person
Mike Carey,Person
Mike Crapo,Person
Mike Doyle,Person
Mike Gallagher,Person
Mike Garcia,Person
Mike Johnson,Person
Mike Kelly,Person
Mike Lee,Person
Mike Quigley,Person
Mike Rogers,Person
Mike Rounds,Person
Mike Simpson,Person
Mike Thompson,Person
Mikie Sherrill,Person
Mitch McConnell,Person
Mitt Romney,Person
Mo Brooks,Person
Mondaire Jones,Person
Monica De La Cruz,Person
Morgan Griffith,Person
Nancy Mace,Person
Nancy Pelosi,Person
Nanette Barragan,Person
Neal Dunn,Person
Ned Lamont,Person
Neil Gorsuch,Person
Nellie Gorbea,Person
Nelson Mandela,Person
Nic Robertson,Person
Nicole Malliotakis,Person
Nicolás Maduro,Person
Nikema Williams,Person
Norma Torres,Person
Nydia M. Velázquez,Person
Pat Fallon,Person
Pat Toomey,Person
Patrick Leahy,Person
Patrick T. McHenry,Person
Patty Murray,Person
Paul D. Tonko,Person
Paul Gosar,Person
Pedro Cortes,Person
Pete Aguilar,Person
Pete Sessions,Person
Peter Meijer,Person
Peter Welch,Person
Phil Murphy,Person
Pramila Jayapal,Person
Questlove,Person
Rachel Campos-Duffy,Person
Raja Krishnamoorthi,Person
Ralph Norman,Person
Rand Paul,Person
Randy Feenstra,Person
Randy Weber,Person
Raphael Warnock,Person
Rashida Tlaib,Person
Raul Grijalva,Person
Raul Ruiz,Person
Rex Chapman,Person
Richard Blumenthal,Person
Richard E. Neal,Person
Richard Hudson,Person
Richard Marx,Person
Richard Shelby,Person
Rick Allen,Person
Rick Larsen,Person
Rick Scott,Person
Ritchie Torres,Person
Ro Khanna,Person
Rob Portman,Person
Robert Aderholt,Person
Robert C. Scott,Person
Robert J. Wittman,Person
Robert Reich,Person
Robin Kelly,Person
Rodney Davis,Person
Roger Wicker,Person
Roger Williams,Person
Ron DeSantis,Person
Ron Estes,Person
Ron Johnson,Person
Ron Kind,Person
Ron Wyden,Person
Rosa L. DeLauro,Person
Roy Blunt,Person
Ruben Gallego,Person
Ruth Johnson,Person
Ryan Fournier,Person
Ryan Zinke,Person
S. Brett Guthrie,Person
Salud Carbajal,Person
Sam Graves,Person
Samuel Alito,Person
Sanford D. Bishop Jr.,Person
Sarah Huckabee Sanders,Person
Saule Omarova,Person
Scott DesJarlais,Person
Scott Fitzgerald,Person
Scott Peters,Person
Sean Hannity,Person
Sean Maloney,Person
Sean Patrick Maloney,Person
Sean Penn,Person
Sean Spicer,Person
Seth Moulton,Person
Sharyl Attkisson,Person
Sheila Jackson Lee,Person
Sheldon Whitehouse,Person
Shelley Moore Capito,Person
Sherrod Brown,Person
Shohei Ohtani,Person
Shontel Brown,Person
Sonia Sotomayor,Person
Stacey Abrams,Person
Stacey Plaskett,Person
Steny H. Hoyer,Person
Stephanie Bice,Person
Stephanie Murphy,Person
Stephen F. Lynch,Person
Steve Bannon,Person
Steve Chabot,Person
Steve Cohen,Person
Steve Daines,Person
Steve Kerr,Person
Steve Scalise,Person
Steve Womack,Person
Steven Horsford,Person
Susan Collins,Person
Susan Wild,Person
Suzan DelBene,Person
Suzanne Bonamici,Person
Sylvester Turner,Person
Tammy Baldwin,Person
Tammy Duckworth,Person
Ted Budd,Person
Ted Cruz,Person
Ted Lieu,Person
Teresa Leger Fernandez,Person
Terri Sewell,Person
Thierry Henry,Person
Thom Tillis,Person
Thomas Massie,Person
Tim Kaine,Person
Tim Ryan,Person
Tim Scott,Person
Tim Walberg,Person
Tina Smith,Person
Todd Young,Person
Tom Carper,Person
Tom Cole,Person
Tom Cotton,Person
Tom Emmer,Person
Tom Fitton,Person
Tom Malinowski,Person
Tom McClintock,Person
Tom O'Halleran,Person
Tom Rice,Person
Tom Suozzi,Person
Tom Tiffany,Person
Tommy Tuberville,Person
Tony Cardenas,Person
Tony Gonzales,Person
Tony Romm,Person
Tool,Person
Troy Nehls,Person
Tulsi Gabbard,Person
V (BTS),Person
Val Demings,Person
Vala Afshar,Person
Vanessa Enoch,Person
Vern Buchanan,Person
Vicente González,Person
Vicky Hartzler,Person
Victoria Spartz,Person
Virginia Foxx,Person
Vladimir Putin,Person
Volodymyr Zelensky,Person
Warren Davidson,Person
William Keating,Person
Xi Jinping,Person
Yvette D. Clarke,Person
Yvette Herrell,Person
Zoe Lofgren,Person
